Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Neopixels","showing the battery and timer status",5,4.02,"https://it.aliexpress.com/item/1005007576573654.html?spm=a2g0o.productlist.main.35.16e33202TMRnWP&algo_pvid=ad019a66-bcb2-4d5d-8444-cf9b53454018&pdp_ext_f=%7B%22order%22%3A%2226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007576573654%7C_p_origin_prod%3A","Aliexpress"
"switches","Deleting times and adding penalities without opening the web page",2,6.22,"https://it.aliexpress.com/item/1005007983672026.html?spm=a2g0o.productlist.main.3.738333eaUvTj1E&algo_pvid=b23443c5-b622-41a1-9ff9-79a0bdc89d61&pdp_ext_f=%7B%22order%22%3A%22160%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007983672026%7C_p_origin_prod%3A","Aliexpress"
"505060 200mAh battery","powering the circuit off the grid",1,11.26,"https://www.aliexpress.com/item/1005009145417769.html?spm=a2g0o.cart.0.0.685518fcIZnX3J&mp=1","Aliexpress"
"TTP223 chip","creating the touch pads",2,1.89,"https://www.aliexpress.com/item/1005006232332977.html?spm=a2g0o.cart.0.0.685518fcIZnX3J&mp=1","Aliexpress"
"ESP32","Controlling everithing",1,4.71,"https://www.aliexpress.com/item/1005005953505528.html?spm=a2g0o.cart.0.0.685518fcIZnX3J&mp=1","Aliexpress"
"2 digit 7segment display","Showing up to the cents of second",1,1.70,"https://www.aliexpress.com/item/1005009575068782.html?spm=a2g0o.cart.0.0.685518fcIZnX3J&mp=1","Aliexpress"
"MAX7219","Controlling the 7segment displays",1,3.88,"https://www.aliexpress.com/item/1005009392438551.html?spm=a2g0o.cart.0.0.685518fcIZnX3J&mp=1","Aliexpress"
"5V boost module","getting 5V from the battry to power the ttp223 and the displays",1,2.86,"https://www.aliexpress.com/item/1005006019647964.html?spm=a2g0o.cart.0.0.685518fcIZnX3J&mp=1","Aliexpress"
"on off switch","cutting the circuit and preventing battery fading",1,2.13,"https://www.aliexpress.com/item/1005010458551063.html?spm=a2g0o.cart.0.0.685518fcIZnX3J&mp=1","Aliexpress"
"4digit 7segment display","showing minutes and seconds",1,2.96,"https://www.aliexpress.com/item/1005009575068782.html?spm=a2g0o.cart.0.0.685518fcIZnX3J&mp=1","Aliexpress"
"tp4056","battery charging module",1,1.54,"https://www.aliexpress.com/item/1005006043031985.html?spm=a2g0o.cart.0.0.685518fcIZnX3J&mp=1","Aliexpress"
"smd resistors","Pull-up, protection and battery sensing circuit",1,3.45,"https://www.aliexpress.com/item/1005002753179336.html?spm=a2g0o.cart.0.0.685518fcIZnX3J&mp=1","Aliexpress"
"100nF capacitor","decoupling capacitors",3,2.56,"https://www.aliexpress.com/item/1005007540183265.html?spm=a2g0o.cart.0.0.685518fcIZnX3J&mp=1","Aliexpress"
